Job: acopf_run
Executing: ACOPF_pinn_baseline.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch 1510 | Cost: 1473.36 | Max P-Miss: 0.1240 | Max Q-Miss: 0.0336 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1520 | Cost: 1466.50 | Max P-Miss: 0.1283 | Max Q-Miss: 0.0763 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1530 | Cost: 1441.80 | Max P-Miss: 0.1442 | Max Q-Miss: 0.0574 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1540 | Cost: 1487.21 | Max P-Miss: 0.1300 | Max Q-Miss: 0.0403 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1550 | Cost: 1487.91 | Max P-Miss: 0.1309 | Max Q-Miss: 0.0325 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1560 | Cost: 1487.61 | Max P-Miss: 0.1288 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1570 | Cost: 1484.72 | Max P-Miss: 0.1280 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1580 | Cost: 1482.89 | Max P-Miss: 0.1229 | Max Q-Miss: 0.0394 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1590 | Cost: 1484.81 | Max P-Miss: 0.1199 | Max Q-Miss: 0.0397 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1600 | Cost: 1482.78 | Max P-Miss: 0.1311 | Max Q-Miss: 0.0288 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1610 | Cost: 1476.43 | Max P-Miss: 0.1331 | Max Q-Miss: 0.0291 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1620 | Cost: 1471.47 | Max P-Miss: 0.1320 | Max Q-Miss: 0.0356 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1630 | Cost: 1462.34 | Max P-Miss: 0.1466 | Max Q-Miss: 0.0391 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1640 | Cost: 1451.64 | Max P-Miss: 0.1528 | Max Q-Miss: 0.0433 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
